- - -||0|0
Absalom|The largest city in Golarion.|-13.739444|102.975278
Alkenstar|A city-state in the magic-dead region of the Mana Wastes known for its vast knowledge of technology, especially the invention of firearms.|-74.398056|48.521944
Almas|The capital of the free nation of Andoran.|11.147778|80.690833
Azir|The capital of Rahadoum. It is the birthplace of the Laws of Man.|-31.582778|-105.725833
Canorate|The capital of Molthune. It is said even the poor of Canorate live in luxury.|49.588056|21.643611
Egorian|The capital of the military nation Cheliax. Also known as the City of Thorns.|11.528889|-47.780278
Eleder|The capital of Sargava. The city is ruled by its many trading companies.|-82.392222|-89.210556
The Eye of Abendego|A vicious, permanent hurricane. Sailors tell legends of ghost ships and aquatic undead.|-62.191389|-115.594444
Falcon&apos;s Hollow|A logging village in Darkmoon Vale comprised almost entirely of lumbermen.|29.580833|64.816389
Isle of Terror|The site of the final battle between the wizard-king Tar-Baphon and the god Aroden. Today it is plagued by monsters and undead.|63.398611|49.363611
Kaer Maga|A clifftop city built in the ruins of an ancient fortress. It serves as a refuge for exiles and misfits.|70.828889|-35.853333
Kalsgard|The biggest city in the Lands of the Linnorm Kings also known as the Thanelands.|82.663333|-106.080278
Katheer|The capital of Qadira. It is a large trading hub.|-20.565278|148.433611
Korvosa|The largest city in Varisia, of which it was once the capital. It now claims independent authority of the region.|63.880833|-30.671944
Merab|The largest of the five Thuvian allied city states, the closest it has to a capital.|-26.646667|-2.873889
Niswan|The capital of the Impossible Kingdom of Jalmeray. It is a meeting place for travelers and scholars from all over Golarion.|-72.765556|139.326944
Oppara|Oppara, the City of Empire, is the capital of Taldor. It is plagued with poverty and crime.|6.080833|133.084167
Quantium|The capital of Nex. The city prides itself on its diversity.|-71.0575|79.324444
Sothis|The capital of Osirion, a desert nation.|-40.004167|91.7675
Starfall|The capital of Numeria. It is ruled by the Black Sovereign, a brutal dictator.|79.293611|83.973889
Urgir|The unofficial capital of the Orc-ruled Hold of Belkzen.|74.627222|7.969444
